,country,n_mention,pos,neg,polarity
124,United States,856.0,0.07205724299065416,0.03902803738317756,0.0330292056074766
125,Greenland,1.0,0.038,0.0,0.038
126,"Palestine, State of",21.0,0.11866666666666667,0.08252380952380953,0.03614285714285714
127,Netherlands,5.0,0.1334,0.11200000000000002,0.021399999999999975
128,"Tanzania, United Republic of",3.0,0.13433333333333333,0.0,0.13433333333333333
129,Thailand,1.0,0.0,0.0,0.0
130,Jersey,5.0,0.037,0.0526,-0.015600000000000003
131,Canada,10.0,0.1371,0.05789999999999999,0.0792
132,Jamaica,2.0,0.0,0.0,0.0
133,"Moldova, Republic of",10.0,0.10350000000000001,0.0126,0.09090000000000001
134,Zimbabwe,1.0,0.192,0.137,0.05499999999999999
