height,weight,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,skin_colour,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
186.0,77.0,340.0,119.0,95.0,126.0,7.0,55.0,2.0,1.0,0.0,152.4648508730389,0.05244353493696254,0.002722414031056034,0.0005444828062112067,0.1595543776418118,0.08039934825163102,0.0029703796856793666,0.0005940759371358734,0.19726616852843767
186.0,76.0,284.0,141.0,69.0,74.0,7.0,40.0,0.0,1.0,0.0,71.2945248584015,0.04455172266409551,0.0,0.0002795914972115623,0.05330140572378044,0.056657350311315094,0.0,0.000279042269435466,0.06538984554870807
184.0,85.0,320.0,141.0,77.0,102.0,20.0,50.0,0.0,0.0,0.5,50.0,0.05652527986173033,0.0,0.0,0.05652527986173033,0.06574778864996389,0.0,0.0,0.06574778864996389
180.0,74.0,410.0,157.0,96.0,157.0,2.0,64.0,1.0,1.0,0.0,128.3796878657202,0.052486384109673455,0.0017714423220882185,0.0007292180440328661,0.13391537430020678,0.061218316742108925,0.0035284185038868343,0.0007956374158069732,0.20285571298849003
186.0,77.0,227.0,98.0,51.0,78.0,64.0,15.0,0.0,0.0,0.0,15.0,0.02772441672378188,0.0,0.0,0.02772441672378188,0.037002713510439,0.0,0.0,0.037002713510439
181.0,74.0,89.0,38.0,17.0,34.0,2.0,17.0,0.0,0.0,0.125,17.0,0.0786843880886812,0.0,0.0,0.0786843880886812,0.1164532145551956,0.0,0.0,0.1164532145551956
180.0,75.0,113.0,52.0,19.0,42.0,10.0,22.0,0.0,0.0,0.125,22.0,0.06618441304393331,0.0,0.0,0.06618441304393331,0.08009966440030226,0.0,0.0,0.08009966440030226
186.0,76.0,205.0,82.0,47.0,76.0,29.0,18.0,1.0,0.0,0.0,51.0851630073187,0.03276477649372863,0.0026299075206462578,0.0,0.11977569550848344,0.04070135963613857,0.002624741346877352,0.0,0.12754135494962499
188.0,77.0,255.0,150.0,44.0,61.0,9.0,27.0,0.0,3.0,0.0,120.88357457520453,0.04062389019893579,0.0,0.005052777709430664,0.19874816783069085,0.0685662794703522,0.0,0.006731732165871883,0.2792326390753308
183.0,85.0,140.0,75.0,24.0,41.0,13.0,34.0,2.0,1.0,0.0,131.4648508730389,0.08551828486560206,0.002732371450022086,0.0014572647733451126,0.22152364836084804,0.1288297272169587,0.00272700399675569,0.0014544021316030347,0.2645679226327936
170.0,63.0,276.0,119.0,70.0,87.0,33.0,28.0,0.0,0.0,0.125,28.0,0.03473188263630511,0.0,0.0,0.03473188263630511,0.04742193649044523,0.0,0.0,0.04742193649044523
192.0,90.0,319.0,181.0,74.0,64.0,32.0,36.0,0.0,1.0,0.25,67.2945248584015,0.0417183359301492,0.0,0.00017896234058624187,0.04731887734634307,0.04799089778379696,0.0,0.00017861078809160074,0.05358043753170824
183.0,76.0,418.0,260.0,82.0,76.0,76.0,28.0,0.0,3.0,0.125,121.88357457520453,0.022687131785918607,0.0,0.002215419607279254,0.09201763575770933,0.04085106380445053,0.0,0.0029830715376916207,0.134204870195131
189.0,88.0,377.0,143.0,106.0,128.0,17.0,135.0,6.0,2.0,0.125,396.1000277607152,0.13088027368590452,0.0057784634653231855,0.0006842808500924876,0.3434759234413049,0.1772269444400219,0.007022761675550872,0.0006829366531005555,0.4309483373043419
188.0,82.0,367.0,237.0,64.0,66.0,26.0,71.0,5.0,4.0,0.0,361.6039144701995,0.07352837917509218,0.0039932990600917056,0.005668059990488834,0.38302657378646265,0.1125093995293354,0.004751870394599668,0.011817072747037926,0.6395354829600346
193.0,88.0,300.0,169.0,66.0,65.0,24.0,32.0,1.0,1.0,0.125,96.3796878657202,0.03723984683524418,0.00017717271718037945,0.001683140813213605,0.0957747270829099,0.05533190174041697,0.00017682468021068472,0.0016798344620015053,0.11375179643801012
172.0,68.0,247.0,91.0,62.0,94.0,30.0,54.0,2.0,0.0,0.0,120.1703260146374,0.061867293353695424,0.007280893365399129,0.0,0.3027568371868309,0.07886257758096422,0.013435691035027137,0.0,0.5233846055908076
