index,weight,yellowCards,skin_colour,defeats,yellowReds,ties,goals,games,redCards,victories,height,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
429,77.0,32,0.0,68,1,46,18,186,1,72,180.0,96.4029917927937,0.054791012441344836,0.0006188017695638254,0.000450037650591873,0.0893603930720083,0.05468338132161,0.0006175861992652593,0.00044915359946564313,0.08918485407870014
431,72.0,7,0.0,27,0,17,8,76,0,32,176.0,7.0,0.03789596136525439,0.0,0.0,0.03789596136525439,0.06027163632980866,0.0,0.0,0.06027163632980866
432,90.0,28,0.0,81,0,60,51,221,0,80,185.0,28.0,0.04842843681606846,0.0,0.0,0.04842843681606846,0.045557938682848804,0.0,0.0,0.045557938682848804
433,73.0,8,0.125,28,1,19,0,82,0,35,180.0,41.09713905522289,0.037067811969364546,0.0025509903047391176,0.0,0.12149829281384052,0.058777610933422535,0.004057222838238234,0.0,0.19306007938861947
434,74.0,49,0.75,86,1,52,27,222,3,84,177.0,176.01469726793528,0.08158584371747643,0.0011381341359605294,0.0018291441470794222,0.17651774478311602,0.142136448348414,0.001810145573983212,0.0029091625296158766,0.2931209018625462
435,77.0,28,0.75,101,1,76,36,296,0,119,176.0,61.09713905522289,0.04030809085991319,0.0004901666660381639,0.0,0.056531205166013294,0.06544941033933971,0.000618998348127575,0.0,0.08593648474227132
436,76.0,23,0.0,74,1,57,18,237,1,106,179.0,87.40299179279369,0.025353069090990138,0.000467539114781557,0.0003116927431877046,0.0505850833042749,0.042510202594013675,0.000466620683889307,0.00031108045592620465,0.0676926511975034
437,79.0,18,0.0,40,2,35,5,123,0,48,184.0,84.19427811044578,0.05100829916899289,0.003669579307412421,0.0,0.17246087578059024,0.08491830410016776,0.005836282852624443,0.0,0.2780825692390919
438,76.03452685421995,4,0.0,34,0,25,27,90,0,31,186.0,4.0,0.019108651694989206,0.0,0.0,0.019108651694989206,0.02828846410611914,0.0,0.0,0.02828846410611914
439,90.0,79,0.25,163,2,114,13,429,3,152,189.0,239.11183632315817,0.06052651454780095,0.000491338314384559,0.0026685082689913114,0.16032833396017743,0.08120713243626908,0.0004903731324945098,0.0031655244612657854,0.19653652281294992
440,78.0,54,0.5,102,1,64,46,259,4,93,179.0,212.3205500055061,0.07496187698760545,0.0013599029198057796,0.00770199562762728,0.3610883139299348,0.12049638576187748,0.0021628577630314113,0.012249639876077903,0.5755662119503663
442,75.0,43,1.0,100,1,116,170,450,5,234,190.0,232.62640274307688,0.035954095866509286,0.00010367809702530118,0.0013374141246401162,0.08125443389586721,0.027566000269211872,0.00011312140980054714,0.0013758783042335054,0.07438303887665619
444,78.0,33,1.0,150,1,88,14,358,0,120,183.0,66.0971390552229,0.025298798785806556,0.000262401352390943,0.0,0.03398353283416813,0.027603089437612045,0.00028630165645102335,0.0,0.037078855172912206
