games,goals,height,skin_colour,redCards,ties,victories,defeats,yellowReds,yellowCards,weight,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
561,11,181.0,0.25,6,139,292,130,3,197,77.0,484.12653359109345,0.10908907635951949,0.0005225233742816268,0.0019505866786134363,0.18744788445026242,0.12589545610952554,0.0006073881572055779,0.00229403194176908,0.2178148925533606
171,4,186.0,0.125,3,50,51,70,0,69,82.0,162.91755821271238,0.10784212924602886,0.0,0.009589601685719474,0.40805278743112344,0.12309132435509589,0.0,0.011230595933329745,0.47467470679907836
17,1,177.0,0.25,0,3,5,9,0,1,68.0,1.0,0.029846888252107632,0.0,0.0,0.029846888252107632,0.034694422003019504,0.0,0.0,0.034694422003019504
175,11,170.0,0.125,1,52,77,46,2,39,68.0,136.50013084801657,0.07583855181681698,0.003202696068166163,0.0012582020267795637,0.2212277163010022,0.09114546000501672,0.0038354057510926963,0.0015067665450721308,0.2652570290520598
197,45,175.0,0.25,1,41,104,52,0,36,73.0,67.3058527375708,0.0582765294201085,0.0,0.002897903732205287,0.148997876908184,0.05979849013475106,0.0,0.003403359841965637,0.1663435721602895
136,1,175.0,0.25,0,36,50,50,1,22,68.0,55.09713905522289,0.06156215149843303,0.0072052678359598365,0.0,0.3000359029953207,0.07433527610871546,0.008700241316890202,0.0,0.362288372787826
285,28,187.0,0.125,3,57,138,90,4,50,80.0,276.30611443360397,0.05374045513268913,0.00683473673481853,0.005908699793930607,0.4649275728701245,0.060315754114558924,0.00660077191337658,0.0061915288695921725,0.4726135110152639
77,16,175.0,0.25,0,10,38,29,0,7,65.0,7.0,0.03238156919260312,0.0,0.0,0.03238156919260312,0.03910020732181358,0.0,0.0,0.03910020732181358
141,16,174.0,0.25,0,30,57,54,0,32,66.0,32.0,0.07795367635273683,0.0,0.0,0.07795367635273683,0.0906143957528863,0.0,0.0,0.0906143957528863
34,2,180.0,0.875,0,15,6,13,0,3,72.0,3.0,0.03978819627635961,0.0,0.0,0.03978819627635961,0.045466281502944135,0.0,0.0,0.045466281502944135
139,26,180.0,0.5,0,27,80,32,0,5,70.0,5.0,0.01658132832006456,0.0,0.0,0.01658132832006456,0.019356377451012978,0.0,0.0,0.019356377451012978
20,4,185.0,0.125,0,5,5,10,0,5,77.0,5.0,0.08207894269329599,0.0,0.0,0.08207894269329599,0.09540966050830363,0.0,0.0,0.09540966050830363
14,1,175.0,0.5,0,1,9,4,0,1,54.0,1.0,0.028420140197399715,0.0,0.0,0.028420140197399715,0.03247591535924581,0.0,0.0,0.03247591535924581
347,11,182.0,1.0,0,65,209,73,2,67,74.0,133.1942781104458,,,,,,,,
68,3,180.0,0.0,1,12,30,26,0,8,68.0,39.3058527375708,0.03259493654816352,0.0,0.004319944352278737,0.1678344782751023,0.03778562563034824,0.0,0.005021561079384402,0.1949898772942734
371,38,188.0,0.5,2,81,243,47,0,48,92.0,110.6117054751416,0.05050724439867674,0.0,0.0011272100441027824,0.08579551604366914,0.05762382054182567,0.0,0.0013290432163161026,0.09923065175368505
138,12,174.0,0.25,0,26,54,58,1,18,75.0,51.09713905522289,0.03360732699991144,0.001693554096746528,0.0,0.08965912243747368,0.03814776618998778,0.0020312278805371515,0.0,0.10537559780497155
185,36,183.0,0.125,0,43,85,57,1,25,85.0,58.09713905522289,0.054434452815005197,0.0021947080189992606,0.0,0.12707300930543647,0.0656436568669169,0.0026500735045700045,0.0,0.15335350815423218
58,2,183.0,0.0,0,7,25,26,0,2,72.0,2.0,0.015074178762073868,0.0,0.0,0.015074178762073868,0.01820182064980977,0.0,0.0,0.01820182064980977
325,31,193.0,0.0,3,90,132,103,4,42,92.0,268.30611443360397,0.05753631528099406,0.006512410310944759,0.0010658510235809807,0.30644584011141535,0.06739639912399716,0.00766892733331636,0.0012869974196835189,0.3615065051734142
322,0,188.0,0.125,1,96,115,111,0,11,83.0,42.3058527375708,0.010353324962595611,0.0,0.0005943939199013007,0.028961333487133183,0.01279212628882453,0.0,0.0006918606328055147,0.03445141337435651
342,106,196.0,0.0,0,85,121,136,2,39,84.0,105.19427811044578,0.03861820802463928,0.011638226239842796,0.0,0.42381020024086,0.046587871730562315,0.013668292609322718,0.0,0.49896925286879146
5,0,174.0,0.375,0,2,1,2,0,1,70.0,1.0,0.05211097938092217,0.0,0.0,0.05211097938092217,0.0703025834145314,0.0,0.0,0.0703025834145314
103,6,173.0,0.0,0,23,49,31,1,14,72.0,47.09713905522289,0.04770499413729195,0.005065730410723301,0.0,0.2153661779572724,0.05183986204606211,0.004847608334672449,0.0,0.21228182918397362
89,0,189.0,0.125,0,22,41,26,0,1,83.0,1.0,0.0061593418597721186,0.0,0.0,0.0061593418597721186,0.007437303061212593,0.0,0.0,0.007437303061212593
214,11,180.0,1.0,0,54,88,72,0,34,68.0,34.0,0.05344955751526183,0.0,0.0,0.05344955751526183,0.05762047478684447,0.0,0.0,0.05762047478684447
229,68,176.0,0.625,2,53,111,65,0,33,70.0,95.6117054751416,0.04372398820324013,0.0,0.009567774111642236,0.3432513155686544,0.05313206951004136,0.0,0.011298267097345018,0.40683395544926604
153,42,174.0,0.75,1,31,77,45,2,18,73.0,115.50013084801658,0.035107808196399345,0.0019220920363014996,0.004872596521608371,0.251264344753878,0.036546435537803845,0.002301811565398209,0.006452551163677525,0.3147324295084384
