goals,birthday,skin_colour,victories,leagueCountry,weight,ties,position,yellowCards,redCards,defeats,yellowReds,height,games,club
6,1988,0,136,2,62,56,9,35,1,68,0,176,260,31
31,1986,0,116,3,71,65,10,50,1,92,3,177,273,20
20,1985,1,115,1,75,69,1,34,1,53,1,184,237,42
6,1992,0,53,3,82,30,1,25,1,37,1,182,120,9
17,1983,0,103,2,76,79,7,40,1,96,1,182,278,33
0,1993,0,33,2,80,11,5,5,1,29,0,189,73,25
4,1982,0,92,3,75,51,6,56,1,78,1,175,221,23
4,1989,0,133,0,70,65,9,41,0,91,1,178,289,21
47,1988,1,57,3,76,41,2,12,0,65,1,179,163,72
5,1983,1,227,0,72,108,9,44,2,97,0,176,432,6
2,1989,0,45,3,75,27,4,27,1,43,1,181,115,26
129,1985,1,158,1,77,102,2,19,0,112,1,184,372,55
0,1988,0,67,3,70,43,6,26,0,50,1,177,160,66
10,1975,0,188,3,90,136,1,128,5,185,10,188,509,41
4,1988,1,62,2,80,34,1,11,0,46,0,188,142,25
0,1994,0,1,1,77,0,1,1,0,0,0,184,1,56
0,1979,1,11,1,71,6,5,1,0,9,0,177,26,42
56,1979,0,105,3,71,56,7,37,2,122,1,180,283,41
4,1987,0,76,3,83,36,9,43,1,47,2,187,159,83
6,1991,0,81,3,70,22,1,19,0,23,0,183,126,29
83,1989,0,72,2,85,49,2,11,0,63,0,192,184,86
2,1991,0,32,2,75,22,4,15,0,38,0,185,92,33
2,1989,0,65,2,87,33,6,10,0,68,0,184,166,25
91,1984,0,397,2,79,113,4,90,1,101,2,183,611,12
2,1986,0,69,2,81,26,1,19,0,41,1,188,136,69
1,1985,0,32,3,72,23,7,19,0,54,2,178,109,20
0,1983,0,89,0,80,68,5,9,1,90,0,188,247,88
15,1987,0,67,3,72,30,3,47,0,48,0,175,145,62
21,1988,0,159,2,80,54,1,27,3,82,2,187,295,31
9,1989,0,42,2,90,43,1,12,1,50,0,197,135,85
52,1980,0,149,2,66,85,7,32,1,123,0,172,357,25
3,1990,0,44,1,75,34,4,12,2,41,0,180,119,49
0,1993,0,24,2,78,17,5,0,0,23,0,190,64,0
4,1984,0,154,0,69,85,6,50,2,92,2,180,331,80
34,1981,0,209,1,78,131,4,80,0,148,2,182,488,56
30,1980,0,194,1,69,119,4,83,1,125,1,177,438,42
6,1985,0,114,1,64,62,6,21,2,49,0,173,225,36
10,1981,0,119,1,77,108,9,84,3,154,3,180,381,75
0,1992,0,98,2,79,48,5,9,0,62,0,190,208,11
53,1986,0,112,2,79,58,10,59,1,86,2,180,256,74
21,1987,1,167,1,70,89,4,59,0,108,2,175,364,57
28,1985,0,116,1,71,66,10,53,0,67,1,175,249,5
3,1979,0,71,2,87,46,1,29,0,62,0,190,179,1
0,1982,0,101,0,92,78,5,14,1,132,0,191,311,88
